"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 09- 01","5.1638","5.2590","5.3504","5.1597","","-1.78%"
"2022- 08- 01","5.2576","5.2766","5.3328","5.2104","","-0.34%"
"2022- 07- 01","5.2757","5.2000","5.2796","5.1304","","1.47%"
"2022- 06- 01","5.1991","5.2809","5.3446","5.1290","","-1.54%"
"2022- 05- 01","5.2804","5.1641","5.3121","5.1635","","2.27%"
"2022- 04- 01","5.1631","5.0833","5.2350","5.0311","","1.61%"
"2022- 03- 01","5.0813","4.9803","5.1241","4.9018","","2.08%"
"2022- 02- 01","4.9777","5.0135","5.0311","4.9126","","-0.67%"
"2022- 01- 01","5.0113","5.0349","5.1097","4.9771","","-0.44%"
"2021- 12- 01","5.0333","4.9829","5.0400","4.9247","","1.06%"
"2021- 11- 01","4.9807","5.1663","5.1803","4.9645","","-3.60%"
"2021- 10- 01","5.1667","5.0864","5.2141","5.0490","","1.63%"
"2021- 09- 01","5.0839","5.1132","5.1554","5.0304","","-0.58%"
"2021- 08- 01","5.1136","5.1783","5.1915","5.0228","","-1.29%"
"2021- 07- 01","5.1803","5.2175","5.2589","5.0683","","-0.70%"
"2021- 06- 01","5.2166","5.2811","5.3163","5.1768","","-1.18%"
"2021- 05- 01","5.2790","5.2673","5.3517","5.2538","","0.26%"
"2021- 04- 01","5.2651","5.2255","5.2754","5.1304","","0.78%"
"2021- 03- 01","5.2242","5.0923","5.2516","5.0844","","2.77%"
"2021- 02- 01","5.0836","5.0457","5.1811","5.0205","","0.80%"
"2021- 01- 01","5.0433","5.1070","5.1354","5.0214","","-1.20%"
"2020- 12- 01","5.1046","5.0637","5.1502","5.0509","","0.84%"
"2020- 11- 01","5.0621","5.0275","5.1223","4.9889","","0.73%"
"2020- 10- 01","5.0254","5.0925","5.1523","5.0118","","-1.31%"
"2020- 09- 01","5.0921","5.2505","5.2578","5.0722","","-2.97%"
"2020- 08- 01","5.2481","5.2151","5.2635","5.1924","","0.77%"
"2020- 07- 01","5.2081","5.2077","5.2515","5.1395","","0.06%"
"2020- 06- 01","5.2052","5.1800","5.2903","5.1638","","0.51%"
"2020- 05- 01","5.1786","5.0776","5.2306","5.0309","","2.03%"
"2020- 04- 01","5.0755","5.0451","5.0998","4.9777","","0.64%"
"2020- 03- 01","5.0432","5.2030","5.2350","4.8376","","-3.12%"
"2020- 02- 01","5.2057","5.2891","5.3325","5.1885","","-1.57%"
"2020- 01- 01","5.2885","5.3593","5.3807","5.2393","","-1.31%"
"2019- 12- 01","5.3585","5.2948","5.3775","5.2517","","1.22%"
"2019- 11- 01","5.2937","5.3525","5.3636","5.2738","","-1.08%"
"2019- 10- 01","5.3515","5.3935","5.4171","5.3313","","-0.73%"
"2019- 09- 01","5.3906","5.3795","5.4184","5.2981","","0.24%"
"2019- 08- 01","5.3779","5.2379","5.4260","5.2180","","2.71%"
"2019- 07- 01","5.2361","5.2463","5.2864","5.2074","","-0.17%"
"2019- 06- 01","5.2452","5.1335","5.2630","5.1219","","2.20%"
"2019- 05- 01","5.1321","5.0332","5.1889","4.9973","","1.99%"
"2019- 04- 01","5.0322","5.0346","5.0574","4.9762","","-0.08%"
"2019- 03- 01","5.0360","5.0891","5.1104","4.9920","","-1.05%"
"2019- 02- 01","5.0894","5.1122","5.1846","5.0553","","-0.44%"
"2019- 01- 01","5.1119","5.0383","5.1754","5.0282","","1.49%"
"2018- 12- 01","5.0369","5.2421","5.2509","5.0273","","-3.60%"
"2018- 11- 01","5.2252","5.3008","5.3088","5.2046","","-1.41%"
"2018- 10- 01","5.3001","5.3289","5.3902","5.2669","","-0.49%"
"2018- 09- 01","5.3262","5.2504","5.3312","5.1748","","1.47%"
"2018- 08- 01","5.2491","5.2328","5.3057","5.2074","","0.38%"
"2018- 07- 01","5.2293","5.0491","5.2630","5.0350","","3.53%"
"2018- 06- 01","5.0509","4.9465","5.0542","4.8609","","2.17%"
"2018- 05- 01","4.9438","4.9188","4.9992","4.8975","","0.59%"
"2018- 04- 01","4.9149","4.8535","5.0115","4.8443","","1.25%"
"2018- 03- 01","4.8540","4.9343","4.9619","4.8217","","-1.59%"
"2018- 02- 01","4.9323","5.1150","5.1346","4.9270","","-3.53%"
"2018- 01- 01","5.1130","5.1785","5.2592","5.1084","","-1.23%"
"2017- 12- 01","5.1765","5.1266","5.2464","5.1007","","1.00%"
"2017- 11- 01","5.1252","5.1451","5.2582","5.1216","","-0.39%"
"2017- 10- 01","5.1453","5.3280","5.3444","5.1339","","-3.45%"
"2017- 09- 01","5.3294","5.2840","5.4120","5.2547","","0.89%"
"2017- 08- 01","5.2824","5.3907","5.4012","5.2164","","-1.99%"
"2017- 07- 01","5.3899","5.2296","5.4326","5.2179","","3.11%"
"2017- 06- 01","5.2274","4.9969","5.2360","4.9813","","4.64%"
"2017- 05- 01","4.9957","5.0494","5.1318","4.9879","","-1.09%"
"2017- 04- 01","5.0508","5.1650","5.2070","5.0374","","-2.08%"
"2017- 03- 01","5.1582","5.1547","5.1814","5.0992","","0.10%"
"2017- 02- 01","5.1533","5.2397","5.2641","5.1490","","-1.61%"
"2017- 01- 01","5.2376","5.1899","5.2652","5.1156","","0.92%"
