"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 09- 01","1,041.19","1,021.86","1,063.75","1,020.39","","1.96%"
"2022- 08- 01","1,021.16","1,017.03","1,038.91","1,000.13","","0.28%"
"2022- 07- 01","1,018.34","1,000.59","1,023.98","996.47","","1.82%"
"2022- 06- 01","1,000.16","982.43","1,011.43","980.99","","1.83%"
"2022- 05- 01","982.15","984.02","998.57","973.20","","0.00%"
"2022- 04- 01","982.14","971.95","995.87","967.78","","1.14%"
"2022- 03- 01","971.10","947.41","983.53","944.30","","2.59%"
"2022- 02- 01","946.54","948.03","951.80","932.25","","-0.14%"
"2022- 01- 01","947.86","941.01","955.84","933.97","","0.84%"
"2021- 12- 01","939.99","925.68","942.00","915.39","","1.57%"
"2021- 11- 01","925.44","947.72","957.31","922.80","","-2.36%"
"2021- 10- 01","947.84","934.44","962.91","931.15","","1.50%"
"2021- 09- 01","933.79","918.64","939.89","914.28","","1.68%"
"2021- 08- 01","918.32","923.06","936.86","908.71","","-0.51%"
"2021- 07- 01","923.05","912.09","927.55","898.17","","1.23%"
"2021- 06- 01","911.82","918.51","927.16","907.72","","-0.58%"
"2021- 05- 01","917.11","909.56","944.44","908.49","","0.92%"
"2021- 04- 01","908.78","898.07","911.33","883.66","","1.28%"
"2021- 03- 01","897.29","883.16","912.72","871.73","","1.74%"
"2021- 02- 01","881.97","875.35","893.41","866.11","","0.86%"
"2021- 01- 01","874.45","852.65","875.97","847.72","","2.70%"
"2020- 12- 01","851.43","853.58","863.69","840.85","","-0.19%"
"2020- 11- 01","853.06","853.24","864.91","841.89","","-0.01%"
"2020- 10- 01","853.16","874.38","878.22","846.66","","-2.39%"
"2020- 09- 01","874.02","910.65","913.13","870.82","","-4.00%"
"2020- 08- 01","910.44","891.27","912.78","885.41","","2.34%"
"2020- 07- 01","889.61","883.49","899.80","877.21","","0.73%"
"2020- 06- 01","883.19","893.62","906.77","874.63","","-1.22%"
"2020- 05- 01","894.13","870.55","902.39","866.02","","2.82%"
"2020- 04- 01","869.62","866.76","880.16","862.02","","0.39%"
"2020- 03- 01","866.25","894.92","901.55","850.01","","-3.28%"
"2020- 02- 01","895.60","903.49","920.71","885.63","","-0.79%"
"2020- 01- 01","902.75","889.34","907.53","881.05","","1.59%"
"2019- 12- 01","888.63","889.90","905.45","879.34","","-0.06%"
"2019- 11- 01","889.15","889.17","890.84","874.20","","0.10%"
"2019- 10- 01","888.28","905.59","913.55","880.65","","-1.81%"
"2019- 09- 01","904.70","909.23","912.72","886.59","","-0.41%"
"2019- 08- 01","908.44","900.85","925.94","897.63","","0.94%"
"2019- 07- 01","899.96","883.26","907.41","877.67","","1.99%"
"2019- 06- 01","882.37","879.24","895.59","873.44","","0.40%"
"2019- 05- 01","878.88","869.82","892.85","863.29","","1.14%"
"2019- 04- 01","868.94","852.05","870.59","846.29","","2.09%"
"2019- 03- 01","851.14","854.77","857.93","837.84","","-0.32%"
"2019- 02- 01","853.91","847.58","857.37","841.96","","0.83%"
"2019- 01- 01","846.91","817.09","853.50","815.60","","3.75%"
"2018- 12- 01","816.32","845.10","848.93","814.42","","-3.02%"
"2018- 11- 01","841.75","868.06","868.48","840.26","","-2.94%"
"2018- 10- 01","867.23","860.45","879.92","860.45","","0.85%"
"2018- 09- 01","859.92","855.61","870.40","845.59","","0.59%"
"2018- 08- 01","854.88","855.89","869.36","851.51","","-0.01%"
"2018- 07- 01","854.99","848.40","865.58","845.09","","0.81%"
"2018- 06- 01","848.11","833.98","849.51","819.92","","1.81%"
"2018- 05- 01","833.02","833.68","848.78","824.71","","0.07%"
"2018- 04- 01","832.42","822.04","853.65","816.91","","1.26%"
"2018- 03- 01","822.09","845.72","847.02","815.00","","-2.69%"
"2018- 02- 01","844.80","868.92","883.26","841.34","","-2.67%"
"2018- 01- 01","867.97","848.53","872.28","845.51","","2.40%"
"2017- 12- 01","847.60","843.74","864.50","838.64","","0.57%"
"2017- 11- 01","842.80","867.93","884.91","837.26","","-2.79%"
"2017- 10- 01","867.02","917.97","919.29","865.15","","-5.50%"
"2017- 09- 01","917.49","901.18","936.25","897.24","","1.92%"
"2017- 08- 01","900.23","897.03","909.01","885.41","","0.46%"
"2017- 07- 01","896.15","883.32","905.21","879.22","","1.54%"
"2017- 06- 01","882.57","829.31","883.89","826.59","","6.53%"
"2017- 05- 01","828.45","833.16","837.20","816.28","","-0.50%"
"2017- 04- 01","832.63","840.13","863.01","826.61","","-0.69%"
"2017- 03- 01","838.45","855.42","865.27","827.15","","-1.86%"
"2017- 02- 01","854.30","883.89","887.34","849.89","","-3.24%"
"2017- 01- 01","882.94","898.37","912.23","875.04","","-1.66%"
"2016- 12- 01","897.84","876.66","900.58","869.29","","2.55%"
"2016- 11- 01","875.49","852.15","881.74","845.66","","2.85%"
"2016- 10- 01","851.27","839.63","869.39","834.71","","1.53%"
"2016- 09- 01","838.41","851.74","860.45","827.17","","-1.48%"
"2016- 08- 01","851.04","853.71","875.48","835.26","","-0.11%"
"2016- 07- 01","851.97","891.60","899.72","847.53","","-4.32%"
