date,interest
Aug-14,3
Sep-14,3
Oct-14,5
Nov-14,1
Dec-14,5
Jan-15,5
Feb-15,6
Mar-15,7
Apr-15,4
May-15,4
Jun-15,4
Jul-15,5
Aug-15,8
Sep-15,8
Oct-15,6
Nov-15,5
Dec-15,6
Jan-16,3
Feb-16,5
Mar-16,6
Apr-16,4
May-16,7
Jun-16,4
Jul-16,7
Aug-16,9
Sep-16,4
Oct-16,4
Nov-16,9
Dec-16,4
Jan-17,5
Feb-17,7
Mar-17,9
Apr-17,8
May-17,6
Jun-17,6
Jul-17,11
Aug-17,6
Sep-17,10
Oct-17,8
Nov-17,7
Dec-17,6
Jan-18,8
Feb-18,9
Mar-18,10
Apr-18,9
May-18,7
Jun-18,11
Jul-18,14
Aug-18,12
Sep-18,8
Oct-18,10
Nov-18,13
Dec-18,11
Jan-19,14
Feb-19,17
Mar-19,15
Apr-19,19
May-19,17
Jun-19,20
Jul-19,15
Aug-19,15
Sep-19,20
Oct-19,16
Nov-19,18
Dec-19,15
Jan-20,24
Feb-20,27
Mar-20,25
Apr-20,27
May-20,21
Jun-20,28
Jul-20,26
Aug-20,30
Sep-20,29
Oct-20,26
Nov-20,36
Dec-20,33
Jan-21,43
Feb-21,53
Mar-21,61
Apr-21,60
May-21,62
Jun-21,69
Jul-21,67
Aug-21,60
Sep-21,72
Oct-21,84
Nov-21,76
Dec-21,63
Jan-22,78
Feb-22,82
Mar-22,77
Apr-22,79
May-22,73
Jun-22,80
Jul-22,82
Aug-22,80
Sep-22,90
