"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 09- 01","202.28","194.73","202.69","194.63","","3.88%"
"2022- 08- 01","194.73","193.29","196.98","191.86","","0.77%"
"2022- 07- 01","193.25","192.23","196.55","191.99","","0.51%"
"2022- 06- 01","192.26","186.30","195.09","185.73","","3.24%"
"2022- 05- 01","186.22","191.40","192.22","185.25","","-2.60%"
"2022- 04- 01","191.20","191.58","194.39","190.06","","-0.24%"
"2022- 03- 01","191.66","190.31","196.27","189.62","","0.67%"
"2022- 02- 01","190.38","189.56","191.63","187.56","","0.52%"
"2022- 01- 01","189.40","187.03","190.75","186.06","","1.26%"
"2021- 12- 01","187.04","186.09","187.57","184.13","","0.63%"
"2021- 11- 01","185.86","183.34","187.12","183.12","","1.36%"
"2021- 10- 01","183.37","183.75","186.12","182.31","","-0.22%"
"2021- 09- 01","183.78","179.34","184.50","178.65","","2.45%"
"2021- 08- 01","179.38","178.17","182.19","176.31","","0.62%"
"2021- 07- 01","178.27","175.15","178.63","174.45","","1.81%"
"2021- 06- 01","175.10","173.73","177.71","173.09","","0.66%"
"2021- 05- 01","173.95","172.75","177.17","172.50","","0.74%"
"2021- 04- 01","172.67","172.11","172.82","169.94","","0.31%"
"2021- 03- 01","172.14","173.65","175.90","170.46","","-0.91%"
"2021- 02- 01","173.72","173.99","174.85","169.91","","-0.17%"
"2021- 01- 01","174.01","166.32","174.28","166.23","","4.60%"
"2020- 12- 01","166.35","168.77","169.90","165.49","","-1.39%"
"2020- 11- 01","168.69","169.94","170.69","167.35","","-0.67%"
"2020- 10- 01","169.83","171.51","171.95","167.55","","-0.99%"
"2020- 09- 01","171.52","173.54","174.27","170.80","","-1.13%"
"2020- 08- 01","173.48","171.15","173.49","169.91","","1.34%"
"2020- 07- 01","171.19","169.70","172.63","169.27","","0.84%"
"2020- 06- 01","169.76","172.50","172.69","167.64","","-1.62%"
"2020- 05- 01","172.56","171.77","174.38","171.45","","0.39%"
"2020- 04- 01","171.89","172.17","175.19","170.79","","-0.11%"
"2020- 03- 01","172.08","171.73","182.69","169.44","","0.24%"
"2020- 02- 01","171.67","172.31","174.01","168.85","","-0.43%"
"2020- 01- 01","172.41","165.86","172.84","165.65","","3.94%"
"2019- 12- 01","165.88","168.06","169.94","165.20","","-1.28%"
"2019- 11- 01","168.03","166.25","168.24","164.87","","1.08%"
"2019- 10- 01","166.24","167.77","169.00","164.50","","-0.90%"
"2019- 09- 01","167.75","169.03","169.81","166.00","","-0.82%"
"2019- 08- 01","169.14","172.65","174.84","168.76","","-2.02%"
"2019- 07- 01","172.62","168.38","172.80","167.37","","2.51%"
"2019- 06- 01","168.40","172.15","172.59","167.62","","-2.19%"
"2019- 05- 01","172.17","172.92","174.46","171.58","","-0.40%"
"2019- 04- 01","172.87","169.38","173.53","168.71","","2.02%"
"2019- 03- 01","169.45","168.13","169.70","167.69","","0.75%"
"2019- 02- 01","168.19","166.01","168.53","165.51","","1.31%"
"2019- 01- 01","166.01","162.05","166.87","161.82","","2.48%"
"2018- 12- 01","162.00","160.96","164.60","160.22","","0.64%"
"2018- 11- 01","160.97","163.78","164.06","160.60","","-1.68%"
"2018- 10- 01","163.72","161.62","165.53","161.49","","1.30%"
"2018- 09- 01","161.62","163.17","165.88","160.81","","-1.05%"
"2018- 08- 01","163.33","163.23","165.71","162.19","","-0.05%"
"2018- 07- 01","163.41","168.51","169.77","163.02","","-2.97%"
"2018- 06- 01","168.41","168.66","172.66","166.65","","-0.09%"
