"날짜","종가","오픈","고가","저가","변동 %"
"2022년 9월","4.210","3.786","4.530","3.520","13.91%"
"2022년 8월","3.696","3.088","3.754","3.000","22.14%"
"2022년 7월","3.026","3.502","3.503","2.995","-14.54%"
"2022년 6월","3.541","2.784","3.708","2.784","27.47%"
"2022년 5월","2.778","2.830","3.000","2.658","-0.07%"
"2022년 4월","2.780","2.366","3.074","2.366","17.25%"
"2022년 3월","2.371","1.952","2.466","1.927","19.09%"
"2022년 2월","1.991","1.941","2.185","1.941","-0.75%"
"2022년 1월","2.006","1.659","2.035","1.659","19.98%"
"2021년 12월","1.672","1.699","1.773","1.636","1.09%"
"2021년 11월","1.654","1.843","1.872","1.652","-9.86%"
"2021년 10월","1.835","1.442","1.857","1.436","27.08%"
"2021년 9월","1.444","1.251","1.487","1.247","15.61%"
"2021년 8월","1.249","1.261","1.315","1.203","-0.56%"
"2021년 7월","1.256","1.295","1.345","1.181","-3.38%"
"2021년 6월","1.300","0.982","1.337","0.974","30.65%"
"2021년 5월","0.995","0.960","1.017","0.896","5.07%"
"2021년 4월","0.947","0.915","0.962","0.884","3.95%"
"2021년 3월","0.911","0.847","1.035","0.843","5.44%"
"2021년 2월","0.864","0.862","0.866","0.826","-0.58%"
"2021년 1월","0.869","0.865","0.902","0.847","-1.81%"
"2020년 12월","0.885","0.877","0.906","0.862","0.57%"
"2020년 11월","0.880","0.892","0.900","0.862","2.09%"
"2020년 10월","0.862","0.825","0.890","0.802","8.84%"
"2020년 9월","0.792","0.860","0.897","0.792","-5.94%"
"2020년 8월","0.842","0.710","0.842","0.702","18.26%"
"2020년 7월","0.712","0.785","0.788","0.712","-9.87%"
"2020년 6월","0.790","0.775","0.841","0.772","3.95%"
"2020년 5월","0.760","0.912","0.912","0.760","-20.17%"
"2020년 4월","0.952","1.085","1.085","0.952","-10.36%"
"2020년 3월","1.062","1.120","1.190","1.020","-4.07%"
"2020년 2월","1.107","1.275","1.315","1.107","-15.30%"
"2020년 1월","1.307","1.335","1.440","1.288","-4.25%"
"2019년 12월","1.365","1.420","1.441","1.365","-1.16%"
"2019년 11월","1.381","1.466","1.553","1.381","-5.54%"
"2019년 10월","1.462","1.342","1.527","1.242","11.35%"
"2019년 9월","1.313","1.255","1.376","1.242","7.71%"
"2019년 8월","1.219","1.320","1.320","1.112","-6.37%"
"2019년 7월","1.302","1.502","1.502","1.302","-12.32%"
"2019년 6월","1.485","1.575","1.575","1.442","-7.25%"
"2019년 5월","1.601","1.743","1.748","1.601","-6.48%"
"2019년 4월","1.712","1.724","1.789","1.712","0.88%"
"2019년 3월","1.697","1.845","1.850","1.695","-7.12%"
"2019년 2월","1.827","1.812","1.832","1.785","1.11%"
"2019년 1월","1.807","1.805","1.820","1.765","-1.53%"
"2018년 12월","1.835","1.910","1.920","1.800","-2.50%"
"2018년 11월","1.882","1.953","1.971","1.882","-2.13%"
"2018년 10월","1.923","1.995","2.063","1.899","-2.73%"
"2018년 9월","1.977","1.815","1.999","1.810","9.89%"
"2018년 8월","1.799","2.024","2.024","1.799","-11.34%"
"2018년 7월","2.029","2.030","2.041","1.947","0.00%"
"2018년 6월","2.029","2.092","2.133","2.027","-3.84%"
"2018년 5월","2.110","2.160","2.243","2.100","-1.49%"
"2018년 4월","2.142","2.162","2.174","2.086","-0.19%"
"2018년 3월","2.146","2.162","2.255","2.145","0.89%"
"2018년 2월","2.127","2.179","2.190","2.117","-3.14%"
"2018년 1월","2.196","2.072","2.225","2.059","5.48%"
"2017년 12월","2.082","2.020","2.129","2.017","2.36%"
"2017년 11월","2.034","2.146","2.153","2.034","-4.51%"
"2017년 10월","2.130","1.895","2.206","1.847","14.70%"
"2017년 9월","1.857","1.721","1.886","1.707","12.27%"
"2017년 8월","1.654","1.624","1.731","1.615","2.41%"
"2017년 7월","1.615","1.646","1.695","1.615","-1.10%"
"2017년 6월","1.633","1.604","1.659","1.575","1.62%"
"2017년 5월","1.607","1.641","1.670","1.607","-1.05%"
"2017년 4월","1.624","1.632","1.670","1.608","-0.67%"
"2017년 3월","1.635","1.639","1.742","1.621","2.19%"
"2017년 2월","1.600","1.649","1.649","1.575","-1.96%"
"2017년 1월","1.632","1.636","1.661","1.560","-0.18%"
"2016년 12월","1.635","1.710","1.732","1.621","-5.33%"
"2016년 11월","1.727","1.482","1.820","1.419","17.48%"
"2016년 10월","1.470","1.320","1.487","1.318","13.60%"
"2016년 9월","1.294","1.325","1.365","1.293","-2.19%"
"2016년 8월","1.323","1.232","1.323","1.230","6.61%"
